call_id,is_repeat_call,parent_call_id,call_date,call_type,call_subreason,scenario,customer_id,account_id,rep_id,rep_name,site,queue_name,department,agent_tenure_months,agent_strain_tier,agent_qa_score,agent_aht_secs_base,friction_tier,aht_secs,rep_gaming_propensity,rep_policy_skill,rep_burnout_level,rep_calls_handled,imei_mismatch_flag,nrf_generated_flag,promo_override_post_call,line_added_no_usage_flag,line_added_same_day_store,rep_aware_gaming,true_resolution,resolution_flag,repeat_contact_30d,repeat_contact_31_60d,escalation_flag,credit_applied,credit_amount,credit_type,credit_authorized,customer_tenure_months,customer_monthly_charges,customer_lines,customer_churn_risk,customer_churn_risk_effective,customer_trust_baseline,customer_patience,customer_is_churned
CALL-0027396,0,,2025-05-24,Device Issue,Device activation,activation_clean,C0002308,A0002308,REP00222,Amy Brooks,NovaWireless,General Support,Call Center,34,medium,0.6523,588.39,normal,626,0.2453,0.5237,0.4626,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,22,104.25,3,0.276735,0.249062,72.221524,0.328021,1
CALL-0027397,0,,2025-05-18,Billing Dispute,,clean,C0001139,A0001139,REP00238,Amy Castillo,NovaWireless,General Support,Call Center,26,medium,0.617,574.42,normal,467,0.3742,0.4475,0.5079,1,False,False,False,False,False,False,True,True,False,False,True,True,14.05,courtesy,True,5,24.24,1,0.319783,0.319783,43.511008,0.922747,0
CALL-0027398,0,,2025-05-17,Promotion Inquiry,Eligibility question,fraud_care_promo,C0009896,A0009896,REP00249,Nora Howard,NovaWireless,General Support,Call Center,27,low,0.5995,571.46,high,879,0.3067,0.4097,0.3983,1,False,False,True,False,False,True,False,True,False,False,True,False,0.0,none,True,45,54.3,0,0.269048,0.363215,76.934949,0.272554,0
CALL-0027399,0,,2025-05-04,Billing Dispute,,clean,C0001387,A0001387,REP00079,Jada Wong,NovaWireless,General Support,Call Center,43,low,0.7446,464.25,high,438,0.259,0.7229,0.2964,1,False,False,False,False,False,False,True,True,False,False,False,True,14.43,courtesy,True,37,95.07,3,0.271575,0.271575,78.723189,0.437539,0
CALL-0027400,0,,2025-05-15,Device Issue,,clean,C0006966,A0006966,REP00088,Elliot Robinson,NovaWireless,General Support,Call Center,34,medium,0.7001,500.04,high,544,0.2013,0.6268,0.3729,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,32,43.11,1,0.329857,0.329857,84.526036,0.278993,0
CALL-0027401,0,,2025-05-16,Device Issue,Device activation,activation_clean,C0004105,A0004105,REP00130,Casey Morgan,NovaWireless,General Support,Call Center,39,medium,0.576,585.19,normal,649,0.4261,0.359,0.5417,1,False,False,False,False,False,False,True,True,True,False,False,False,0.0,none,True,58,89.79,3,0.317374,0.285637,63.775953,0.541468,1
CALL-0027402,1,CALL-0027401,2025-05-05,Device Issue,Device activation,activation_clean,C0004105,A0004105,REP00133,Jada Clark,NovaWireless,General Support,Call Center,25,low,0.5887,488.54,normal,431,0.2894,0.3864,0.3572,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,58,89.79,3,0.317374,0.285637,63.775953,0.541468,1
CALL-0027403,0,,2025-05-19,Promotion Inquiry,Eligibility question,fraud_care_promo,C0009976,A0009976,REP00248,Emma Jackson,NovaWireless,General Support,Call Center,31,medium,0.5342,576.05,normal,726,0.3047,0.2688,0.4652,1,False,False,True,False,False,True,False,True,True,False,False,False,0.0,none,True,4,20.69,1,0.331253,0.447192,74.665754,0.776833,0
CALL-0027404,1,CALL-0027403,2025-05-04,Promotion Inquiry,Eligibility question,fraud_care_promo,C0009976,A0009976,REP00011,Carmen Cook,NovaWireless,General Support,Call Center,36,medium,0.6526,558.44,normal,793,0.2971,0.5243,0.4908,1,False,False,True,False,False,True,False,True,False,False,False,False,0.0,none,True,4,20.69,1,0.331253,0.447192,74.56575400000001,0.776833,0
CALL-0027405,0,,2025-05-30,Billing Dispute,,clean,C0001004,A0001004,REP00030,Chloe Walker,NovaWireless,General Support,Call Center,32,low,0.6351,561.04,normal,500,0.2353,0.4865,0.3506,1,False,False,False,False,False,False,True,True,False,False,False,True,13.44,courtesy,True,11,91.16,1,0.46099,0.46099,65.553096,0.813747,0
