customer_id,account_id,tenure_months,monthly_charges,paperless_billing,payment_method,contract_proxy,internet_service,has_5g_home_internet,lines_on_account,device_payment_plan,device_term_months,device_months_remaining,device_monthly_payment,OnlineSecurity,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,churn_risk_score,trust_baseline,patience,is_churned,repeat_contacts_30d,last_call_day_index
C0000001,A0000001,44,86.94,Yes,Credit card (automatic),One year,No,0,3,Yes,30,6,10.0,No,No,No,No,No,0.248175,66.237481,0.964852,0,0,-1
C0000002,A0000002,20,108.42,Yes,Bank transfer (automatic),Month-to-month,No,0,3,Yes,24,7,26.37,Yes,No,No,No,Yes,0.306203,62.098667,0.544587,0,0,-1
C0000003,A0000003,50,39.69,Yes,Bank transfer (automatic),One year,No,0,3,Yes,36,18,11.78,No,No,No,No,Yes,0.219095,44.043494,0.499266,1,0,-1
C0000004,A0000004,24,41.68,Yes,Electronic check,One year,No,0,2,Yes,30,16,10.0,Yes,Yes,Yes,Yes,No,0.297209,71.931488,0.446079,1,0,-1
C0000005,A0000005,3,62.23,Yes,Bank transfer (automatic),Month-to-month,5G Home Internet,1,3,No,0,0,0.0,No,No,No,Yes,No,0.248364,77.552618,0.355548,1,0,-1
C0000006,A0000006,61,48.71,Yes,Bank transfer (automatic),Two year,5G Home Internet,1,2,Yes,30,8,13.47,Yes,No,Yes,No,No,0.288894,89.062307,0.656809,0,0,-1
C0000007,A0000007,40,63.38,No,Bank transfer (automatic),Month-to-month,No,0,2,Yes,36,18,13.75,No,No,Yes,No,No,0.318096,66.757795,0.826139,0,0,-1
C0000008,A0000008,47,73.7,Yes,Electronic check,Month-to-month,5G Home Internet,1,4,No,0,0,0.0,No,No,No,No,No,0.20942,57.550597,0.146606,0,0,-1
C0000009,A0000009,2,87.21,Yes,Credit card (automatic),Month-to-month,5G Home Internet,1,2,No,0,0,0.0,No,Yes,Yes,Yes,No,0.220236,58.664098,0.63018,1,0,-1
C0000010,A0000010,15,36.92,Yes,Electronic check,Month-to-month,No,0,4,No,0,0,0.0,No,No,Yes,No,No,0.27621,62.505271,0.464108,0,0,-1
C0000011,A0000011,20,54.97,Yes,Credit card (automatic),Month-to-month,No,0,1,Yes,36,25,13.03,Yes,No,No,No,No,0.163657,73.221051,0.636245,0,0,-1
C0000012,A0000012,54,89.42,No,Credit card (automatic),One year,No,0,2,Yes,36,11,20.06,Yes,No,No,Yes,Yes,0.22457,59.524218,0.255487,0,0,-1
C0000013,A0000013,24,56.9,No,Electronic check,Two year,5G Home Internet,1,3,Yes,36,23,13.96,No,No,No,Yes,Yes,0.179615,71.451304,0.476892,0,0,-1
C0000014,A0000014,37,62.02,Yes,Bank transfer (automatic),Two year,No,0,1,Yes,30,14,13.36,No,Yes,Yes,No,No,0.26531,58.069015,0.44777,0,0,-1
C0000015,A0000015,23,31.62,Yes,Bank transfer (automatic),Month-to-month,5G Home Internet,1,3,Yes,36,22,10.0,No,No,No,Yes,No,0.330602,69.235127,0.709848,1,0,-1
C0000016,A0000016,1,52.1,Yes,Credit card (automatic),One year,5G Home Internet,1,1,Yes,30,29,13.71,No,Yes,No,Yes,No,0.357361,95.530821,0.585011,0,0,-1
C0000017,A0000017,31,64.92,No,Credit card (automatic),Month-to-month,No,0,2,Yes,36,9,14.72,No,Yes,Yes,No,No,0.394876,74.411678,0.605277,1,0,-1
C0000018,A0000018,9,40.99,Yes,Bank transfer (automatic),Month-to-month,No,0,2,Yes,24,10,10.83,No,No,No,No,No,0.287558,59.42778,0.516537,0,0,-1
C0000019,A0000019,39,70.7,Yes,Credit card (automatic),Month-to-month,No,0,2,No,0,0,0.0,Yes,No,Yes,No,Yes,0.167606,98.0,0.460904,1,0,-1
C0000020,A0000020,32,70.27,No,Mailed check,One year,No,0,3,Yes,30,17,19.69,Yes,Yes,No,No,Yes,0.164257,84.229543,0.350431,0,0,-1
C0000021,A0000021,38,93.07,No,Mailed check,One year,No,0,2,Yes,36,25,18.11,Yes,No,Yes,No,No,0.308926,79.637027,0.583377,0,0,-1
C0000022,A0000022,15,84.26,Yes,Bank transfer (automatic),Two year,5G Home Internet,1,2,Yes,24,16,25.89,No,Yes,Yes,Yes,No,0.239087,68.462609,0.356962,1,0,-1
C0000023,A0000023,63,43.59,Yes,Credit card (automatic),Month-to-month,No,0,3,No,0,0,0.0,No,No,No,No,No,0.194075,80.999728,0.437515,0,0,-1
C0000024,A0000024,59,39.56,Yes,Electronic check,One year,No,0,1,Yes,24,5,10.28,No,No,No,No,No,0.354923,79.834573,0.476426,0,0,-1
C0000025,A0000025,38,82.27,Yes,Bank transfer (automatic),Month-to-month,No,0,2,No,0,0,0.0,No,Yes,Yes,No,Yes,0.413064,59.919658,0.700141,1,0,-1
C0000026,A0000026,1,59.99,Yes,Electronic check,Month-to-month,No,0,1,Yes,24,11,19.57,Yes,Yes,No,Yes,No,0.312745,84.400299,0.298159,0,0,-1
C0000027,A0000027,23,54.4,No,Electronic check,Two year,5G Home Internet,1,3,Yes,24,20,10.0,No,No,Yes,Yes,No,0.352799,81.849731,0.419664,0,0,-1
C0000028,A0000028,1,32.59,Yes,Credit card (automatic),Month-to-month,No,0,1,Yes,36,22,10.0,No,No,No,No,No,0.228583,70.96818,0.467001,1,0,-1
C0000029,A0000029,10,66.8,Yes,Bank transfer (automatic),Month-to-month,No,0,3,No,0,0,0.0,No,No,Yes,No,No,0.233968,64.614798,0.55008,0,0,-1
C0000030,A0000030,31,57.36,No,Bank transfer (automatic),Two year,5G Home Internet,1,1,Yes,30,12,12.16,Yes,Yes,No,Yes,No,0.01,87.811569,0.762114,0,0,-1
C0000031,A0000031,42,38.2,No,Bank transfer (automatic),Month-to-month,No,0,5,Yes,36,5,10.0,No,No,Yes,No,No,0.36914,66.604856,0.823436,0,0,-1
C0000032,A0000032,69,74.44,No,Bank transfer (automatic),One year,No,0,2,Yes,36,7,16.28,Yes,Yes,No,No,No,0.3364,71.898175,0.478285,1,0,-1
C0000033,A0000033,8,94.2,Yes,Electronic check,Month-to-month,5G Home Internet,1,1,No,0,0,0.0,Yes,No,Yes,No,Yes,0.272715,58.296133,0.577943,0,0,-1
C0000034,A0000034,13,49.86,No,Bank transfer (automatic),Month-to-month,5G Home Internet,1,0,Yes,24,20,10.0,No,No,No,Yes,No,0.38886,58.365948,0.258507,0,0,-1
C0000035,A0000035,23,81.56,Yes,Credit card (automatic),Month-to-month,5G Home Internet,1,1,Yes,24,15,16.08,Yes,No,No,No,Yes,0.311918,93.440434,0.543684,1,0,-1
C0000036,A0000036,11,79.98,Yes,Electronic check,Two year,No,0,1,Yes,30,22,18.16,Yes,No,Yes,Yes,No,0.278455,88.981349,0.624786,1,0,-1
C0000037,A0000037,10,40.31,No,Electronic check,Month-to-month,No,0,3,Yes,24,13,10.0,Yes,Yes,Yes,Yes,No,0.375988,85.610798,0.456058,0,0,-1
C0000038,A0000038,19,49.91,Yes,Bank transfer (automatic),Month-to-month,No,0,1,No,0,0,0.0,No,No,Yes,No,No,0.230824,75.342021,0.275403,0,0,-1
C0000039,A0000039,6,27.34,No,Bank transfer (automatic),Month-to-month,No,0,2,Yes,30,18,10.0,Yes,No,Yes,No,Yes,0.230506,54.823816,0.560801,1,0,-1
C0000040,A0000040,30,55.52,No,Mailed check,Two year,5G Home Internet,1,1,Yes,24,10,11.57,No,No,Yes,No,No,0.233286,76.394424,0.485891,1,0,-1
C0000041,A0000041,12,94.72,No,Bank transfer (automatic),Month-to-month,No,0,2,No,0,0,0.0,No,No,No,No,No,0.168482,77.107863,0.301418,0,0,-1
C0000042,A0000042,41,32.56,Yes,Credit card (automatic),Month-to-month,No,0,4,Yes,24,11,10.0,Yes,No,No,No,No,0.43593,71.13843,0.664534,0,0,-1
C0000043,A0000043,43,101.49,Yes,Electronic check,Month-to-month,No,0,3,Yes,30,13,27.88,No,Yes,No,Yes,Yes,0.186624,79.644899,0.322093,0,0,-1
C0000044,A0000044,7,24.74,No,Electronic check,Month-to-month,No,0,1,Yes,36,24,10.0,No,Yes,No,Yes,No,0.248084,94.445043,0.695292,1,0,-1
C0000045,A0000045,39,41.88,Yes,Bank transfer (automatic),One year,No,0,1,Yes,36,26,10.0,Yes,Yes,No,No,No,0.301444,64.959149,0.550136,0,0,-1
C0000046,A0000046,41,79.58,Yes,Bank transfer (automatic),Two year,No,0,3,Yes,36,15,21.6,No,No,No,Yes,Yes,0.320082,75.003939,0.646247,1,0,-1
C0000047,A0000047,19,82.56,Yes,Electronic check,Month-to-month,5G Home Internet,1,1,No,0,0,0.0,No,No,No,No,Yes,0.327045,59.344458,0.69272,1,0,-1
C0000048,A0000048,5,39.34,Yes,Bank transfer (automatic),One year,No,0,2,Yes,24,16,10.67,Yes,Yes,No,No,No,0.135358,78.389014,0.409707,0,0,-1
C0000049,A0000049,35,22.25,Yes,Bank transfer (automatic),Month-to-month,No,0,2,No,0,0,0.0,Yes,No,Yes,No,No,0.154508,68.848128,0.229667,0,0,-1
C0000050,A0000050,8,77.24,Yes,Bank transfer (automatic),Month-to-month,5G Home Internet,1,2,Yes,24,7,15.63,Yes,No,Yes,No,No,0.307138,73.184248,0.68909,0,0,-1
C0000051,A0000051,0,51.49,No,Bank transfer (automatic),Month-to-month,No,0,1,Yes,36,27,10.54,No,No,Yes,No,No,0.41136,62.078683,0.519993,1,0,-1
C0000052,A0000052,0,76.63,Yes,Electronic check,Two year,No,0,2,Yes,36,21,11.19,No,No,Yes,No,No,0.407153,63.458161,0.233038,1,0,-1
C0000053,A0000053,44,92.68,No,Mailed check,Two year,No,0,4,Yes,24,3,11.55,Yes,No,Yes,No,Yes,0.374835,41.056221,0.206018,0,0,-1
C0000054,A0000054,28,35.38,No,Credit card (automatic),Month-to-month,5G Home Internet,1,2,Yes,30,16,10.29,No,No,No,No,Yes,0.254682,71.695704,0.631973,0,0,-1
C0000055,A0000055,46,94.62,No,Bank transfer (automatic),One year,No,0,5,Yes,30,11,23.17,No,No,Yes,No,No,0.232081,67.35331,0.338329,0,0,-1
C0000056,A0000056,38,25.2,Yes,Mailed check,Month-to-month,No,0,1,Yes,30,19,10.0,No,No,No,No,No,0.165791,73.417955,0.394186,0,0,-1
C0000057,A0000057,12,98.7,No,Bank transfer (automatic),Two year,5G Home Internet,1,2,Yes,24,16,32.46,Yes,No,No,Yes,No,0.320089,71.244155,0.663826,1,0,-1
C0000058,A0000058,28,112.87,Yes,Mailed check,Two year,No,0,1,Yes,36,15,27.55,No,No,Yes,No,No,0.349576,79.342672,0.75578,1,0,-1
C0000059,A0000059,8,64.04,No,Credit card (automatic),Two year,5G Home Internet,1,1,Yes,24,16,16.26,No,Yes,Yes,No,No,0.294368,91.864222,0.79769,0,0,-1
C0000060,A0000060,11,106.12,No,Bank transfer (automatic),One year,No,0,1,Yes,24,4,22.51,No,Yes,No,No,No,0.370226,60.990538,0.452844,1,0,-1
C0000061,A0000061,34,90.66,No,Electronic check,Month-to-month,No,0,3,No,0,0,0.0,Yes,No,Yes,Yes,No,0.334103,80.014242,0.274097,1,0,-1
C0000062,A0000062,17,37.64,Yes,Electronic check,Month-to-month,5G Home Internet,1,1,No,0,0,0.0,Yes,No,Yes,No,Yes,0.311882,59.423308,0.465066,1,0,-1
C0000063,A0000063,33,35.94,Yes,Electronic check,Month-to-month,5G Home Internet,1,1,No,0,0,0.0,Yes,No,No,No,Yes,0.270216,66.257562,0.43463,0,0,-1
C0000064,A0000064,36,26.04,No,Electronic check,Month-to-month,No,0,2,No,0,0,0.0,No,No,Yes,No,No,0.122467,69.858828,0.591181,0,0,-1
C0000065,A0000065,30,53.77,Yes,Bank transfer (automatic),Month-to-month,5G Home Internet,1,5,No,0,0,0.0,No,No,Yes,Yes,No,0.272145,80.586141,0.671026,0,0,-1
C0000066,A0000066,35,60.03,Yes,Electronic check,Month-to-month,No,0,4,Yes,36,10,11.72,No,No,Yes,Yes,No,0.151764,56.14636,0.419863,1,0,-1
C0000067,A0000067,28,66.65,Yes,Bank transfer (automatic),Month-to-month,No,0,5,Yes,30,23,20.49,Yes,No,No,Yes,No,0.270324,55.129664,0.305168,0,0,-1
C0000068,A0000068,11,76.79,Yes,Bank transfer (automatic),Two year,No,0,2,Yes,36,22,24.28,No,No,No,No,Yes,0.033471,71.474608,0.655009,0,0,-1
C0000069,A0000069,2,43.02,No,Electronic check,Two year,No,0,1,Yes,24,15,10.0,No,No,Yes,No,No,0.249052,33.851339,0.315858,1,0,-1
C0000070,A0000070,13,27.07,Yes,Electronic check,Month-to-month,No,0,1,No,0,0,0.0,No,Yes,No,No,Yes,0.322371,83.136957,0.407886,0,0,-1
C0000071,A0000071,6,40.02,No,Electronic check,Two year,5G Home Internet,1,4,Yes,24,8,10.0,Yes,No,No,Yes,No,0.129222,79.107681,0.583689,0,0,-1
C0000072,A0000072,22,100.46,No,Bank transfer (automatic),Two year,No,0,3,Yes,30,12,23.66,No,No,No,Yes,Yes,0.318784,70.430834,0.735718,0,0,-1
C0000073,A0000073,51,42.92,No,Bank transfer (automatic),Month-to-month,5G Home Internet,1,1,Yes,36,16,10.0,No,No,Yes,No,Yes,0.1937,79.626396,0.658401,0,0,-1
C0000074,A0000074,9,42.04,Yes,Mailed check,Two year,No,0,1,Yes,36,32,14.11,No,No,No,No,No,0.298561,48.100388,0.282217,0,0,-1
C0000075,A0000075,2,29.79,No,Electronic check,Two year,No,0,0,Yes,30,22,10.0,Yes,No,No,No,No,0.25353,78.711691,0.476498,0,0,-1
C0000076,A0000076,8,118.0,No,Credit card (automatic),Month-to-month,5G Home Internet,1,3,Yes,36,14,21.64,Yes,No,No,Yes,No,0.252578,78.570797,0.517592,0,0,-1
C0000077,A0000077,6,41.69,No,Bank transfer (automatic),Month-to-month,No,0,4,No,0,0,0.0,No,No,Yes,Yes,No,0.380684,49.165123,0.562882,1,0,-1
C0000078,A0000078,26,77.4,No,Bank transfer (automatic),Month-to-month,No,0,3,Yes,36,23,15.52,No,No,Yes,No,No,0.333403,72.291924,0.4004,1,0,-1
C0000079,A0000079,32,33.36,Yes,Mailed check,Month-to-month,No,0,2,No,0,0,0.0,No,Yes,No,No,No,0.101855,66.358511,0.596973,0,0,-1
C0000080,A0000080,44,23.38,Yes,Electronic check,Two year,No,0,2,Yes,24,10,10.0,Yes,No,No,No,No,0.194264,47.254528,0.571995,0,0,-1
C0000081,A0000081,30,65.79,No,Bank transfer (automatic),Two year,No,0,1,Yes,30,15,17.2,No,Yes,No,No,No,0.223272,68.03934,0.45535,0,0,-1
C0000082,A0000082,14,63.88,Yes,Bank transfer (automatic),One year,5G Home Internet,1,2,Yes,24,19,16.25,No,No,No,No,No,0.391729,77.051022,0.370601,0,0,-1
