segment_key,Contract,InternetService,PaymentMethod,customer_count,churn_rate,tenure_mean,monthly_charges_mean,addon_count_mean,paperless_share,phone_service_share,segment_weight,pressure_index,pressure_tier
Month-to-month | Fiber optic | Electronic check,Month-to-month,Fiber optic,Electronic check,1307,0.603672532517215,19.371843917368018,87.18293802601377,2.441469013006886,0.811017597551645,1.0,0.18557432912111316,0.8185422975461308,peak
Month-to-month | Fiber optic | Bank transfer (automatic),Month-to-month,Fiber optic,Bank transfer (automatic),327,0.45565749235474007,28.782874617737004,88.25382262996942,2.7522935779816513,0.7614678899082569,1.0,0.04642907851767713,0.7007097039734468,peak
Month-to-month | Fiber optic | Mailed check,Month-to-month,Fiber optic,Mailed check,201,0.5074626865671642,13.890547263681592,82.58781094527365,1.890547263681592,0.7114427860696517,1.0,0.02853897486866392,0.6943497658287441,peak
Month-to-month | Fiber optic | Credit card (automatic),Month-to-month,Fiber optic,Credit card (automatic),293,0.41638225255972694,28.484641638225256,87.96535836177473,2.7235494880546076,0.8088737201365188,1.0,0.04160159023143547,0.6629051668953356,peak
One year | Fiber optic | Electronic check,One year,Fiber optic,Electronic check,196,0.2602040816326531,51.80102040816327,99.16071428571429,4.301020408163265,0.7704081632653061,1.0,0.027829050120687208,0.6205989174588409,peak
One year | Fiber optic | Mailed check,One year,Fiber optic,Mailed check,36,0.19444444444444445,43.97222222222222,97.73888888888888,4.083333333333333,0.5833333333333334,1.0,0.005111458185432344,0.5471786759594467,peak
Two year | Fiber optic | Electronic check,Two year,Fiber optic,Electronic check,92,0.09782608695652174,62.869565217391305,105.03097826086957,5.217391304347826,0.8043478260869565,1.0,0.013062615362771547,0.5292465097742792,peak
Two year | Fiber optic | Bank transfer (automatic),Two year,Fiber optic,Bank transfer (automatic),162,0.09259259259259259,66.1604938271605,104.4641975308642,5.296296296296297,0.7098765432098766,1.0,0.023001561834445548,0.5268203351441565,peak
One year | Fiber optic | Credit card (automatic),One year,Fiber optic,Credit card (automatic),150,0.15333333333333332,54.7,99.16466666666668,4.366666666666666,0.7466666666666667,1.0,0.021297742439301433,0.5263007337071101,peak
Month-to-month | DSL | Electronic check,Month-to-month,DSL,Electronic check,474,0.4050632911392405,14.867088607594937,49.24567510548523,1.738396624472574,0.6413502109704642,0.630801687763713,0.06730086610819253,0.5152686454436128,high
One year | Fiber optic | Bank transfer (automatic),One year,Fiber optic,Bank transfer (automatic),157,0.1464968152866242,51.847133757961785,98.17420382165605,4.178343949044586,0.7388535031847133,1.0,0.022291637086468835,0.5089521947330196,high
Two year | Fiber optic | Mailed check,Two year,Fiber optic,Mailed check,21,0.047619047619047616,58.80952380952381,105.04523809523809,5.428571428571429,0.47619047619047616,1.0,0.0029816839415022006,0.4933852374917014,high
Two year | Fiber optic | Credit card (automatic),Two year,Fiber optic,Credit card (automatic),154,0.03896103896103896,66.4090909090909,104.34512987012987,5.337662337662338,0.6948051948051948,1.0,0.021865682237682805,0.4796052223752565,high
Month-to-month | DSL | Credit card (automatic),Month-to-month,DSL,Credit card (automatic),185,0.2702702702702703,21.048648648648648,52.16675675675676,2.075675675675676,0.6486486486486487,0.6918918918918919,0.026267215675138435,0.41508282621666454,high
Month-to-month | DSL | Mailed check,Month-to-month,DSL,Mailed check,367,0.3079019073569482,10.574931880108991,48.83950953678474,1.4795640326975477,0.5095367847411444,0.7493188010899182,0.05210847650149084,0.4137168558571005,high
Two year | DSL | Electronic check,Two year,DSL,Electronic check,58,0.06896551724137931,61.5,70.85086206896553,4.793103448275862,0.5689655172413793,0.7068965517241379,0.008235127076529888,0.4024972773781723,high
Two year | DSL | Credit card (automatic),Two year,DSL,Credit card (automatic),237,0.02109704641350211,61.139240506329116,72.50675105485232,5.0210970464135025,0.4936708860759494,0.7763713080168776,0.03365043305409626,0.3734251358041895,high
Month-to-month | DSL | Bank transfer (automatic),Month-to-month,DSL,Bank transfer (automatic),197,0.19796954314720813,22.431472081218274,53.30482233502538,2.1776649746192893,0.5634517766497462,0.7360406091370558,0.02797103507028255,0.35665248517913944,high
Two year | DSL | Bank transfer (automatic),Two year,DSL,Bank transfer (automatic),224,0.013392857142857142,62.29017857142857,70.58191964285714,4.803571428571429,0.5133928571428571,0.7455357142857143,0.03180462870935681,0.35171901852828974,normal
One year | DSL | Electronic check,One year,DSL,Electronic check,116,0.09482758620689655,39.974137931034484,62.504741379310346,3.586206896551724,0.603448275862069,0.7068965517241379,0.016470254153059777,0.3500797176966413,normal
One year | DSL | Credit card (automatic),One year,DSL,Credit card (automatic),172,0.09883720930232558,42.55232558139535,61.57238372093024,3.4593023255813953,0.5290697674418605,0.7441860465116279,0.024421411330398976,0.34561430573103236,normal
One year | DSL | Bank transfer (automatic),One year,DSL,Bank transfer (automatic),145,0.07586206896551724,45.89655172413793,62.70310344827587,3.537931034482759,0.5172413793103449,0.7655172413793103,0.02058781769132472,0.33101727493871963,normal
One year | DSL | Mailed check,One year,DSL,Mailed check,137,0.10218978102189781,32.605839416058394,58.855474452554745,3.0145985401459856,0.4744525547445255,0.7591240875912408,0.019451938094561975,0.3215182538884557,normal
Two year | DSL | Mailed check,Two year,DSL,Mailed check,109,0.0,47.08256880733945,65.56834862385321,4.376146788990826,0.3853211009174312,0.6880733944954128,0.015476359505892375,0.30775183001692,normal
Month-to-month | No | Mailed check,Month-to-month,No,Mailed check,325,0.20615384615384616,7.061538461538461,20.302923076923076,0.06769230769230769,0.28923076923076924,1.0,0.04614510861848644,0.18782470507945795,normal
Month-to-month | No | Bank transfer (automatic),Month-to-month,No,Bank transfer (automatic),65,0.2,12.892307692307693,20.48076923076923,0.1076923076923077,0.35384615384615387,1.0,0.009229021723697288,0.18450309715784036,normal
Month-to-month | No | Electronic check,Month-to-month,No,Electronic check,69,0.18840579710144928,12.768115942028986,20.869565217391305,0.17391304347826086,0.4782608695652174,1.0,0.00979696152207866,0.1779454780633476,normal
Month-to-month | No | Credit card (automatic),Month-to-month,No,Credit card (automatic),65,0.09230769230769231,11.815384615384616,20.383076923076924,0.07692307692307693,0.38461538461538464,1.0,0.009229021723697288,0.08472025399383097,low
One year | No | Electronic check,One year,No,Electronic check,35,0.05714285714285714,35.25714285714286,21.714285714285715,0.34285714285714286,0.34285714285714286,1.0,0.004969473235837001,0.0682253124171123,low
One year | No | Bank transfer (automatic),One year,No,Bank transfer (automatic),89,0.0449438202247191,35.93258426966292,21.134831460674157,0.23595505617977527,0.3258426966292135,1.0,0.012636660513985518,0.05075803722425377,low
Two year | No | Credit card (automatic),Two year,No,Credit card (automatic),190,0.010526315789473684,52.794736842105266,21.978947368421053,0.4,0.2736842105263158,1.0,0.02697714042311515,0.029042883395424424,low
Two year | No | Bank transfer (automatic),Two year,No,Bank transfer (automatic),178,0.0056179775280898875,56.58988764044944,22.102808988764046,0.42696629213483145,0.3258426966292135,1.0,0.025273321027971037,0.026120820773531995,low
Two year | No | Electronic check,Two year,No,Electronic check,18,0.0,50.888888888888886,22.01111111111111,0.4444444444444444,0.2777777777777778,1.0,0.002555729092716172,0.021601000545687674,low
Two year | No | Mailed check,Two year,No,Mailed check,252,0.007936507936507936,39.84126984126984,21.37876984126984,0.2857142857142857,0.2261904761904762,1.0,0.03578020729802641,0.019937242533573193,low
One year | No | Credit card (automatic),One year,No,Credit card (automatic),76,0.013157894736842105,33.89473684210526,20.892763157894734,0.19736842105263158,0.27631578947368424,1.0,0.01079085616924606,0.01942743970254454,low
One year | No | Mailed check,One year,No,Mailed check,164,0.012195121951219513,22.95731707317073,20.423475609756096,0.0975609756097561,0.22560975609756098,1.0,0.023285531733636233,0.012788268767563752,low
