call_id,is_repeat_call,parent_call_id,call_date,call_type,call_subreason,scenario,customer_id,account_id,rep_id,rep_name,site,queue_name,department,agent_tenure_months,agent_strain_tier,agent_qa_score,agent_aht_secs_base,friction_tier,aht_secs,rep_gaming_propensity,rep_policy_skill,rep_burnout_level,rep_calls_handled,imei_mismatch_flag,nrf_generated_flag,promo_override_post_call,line_added_no_usage_flag,line_added_same_day_store,rep_aware_gaming,true_resolution,resolution_flag,repeat_contact_30d,repeat_contact_31_60d,escalation_flag,credit_applied,credit_amount,credit_type,credit_authorized,customer_tenure_months,customer_monthly_charges,customer_lines,customer_churn_risk,customer_churn_risk_effective,customer_trust_baseline,customer_patience,customer_is_churned
CALL-0075438,0,,2025-12-17,Device Issue,Device activation,activation_clean,C0008041,A0008041,REP00187,Natalie Davis,NovaWireless,General Support,Call Center,27,medium,0.6177,547.62,normal,679,0.4479,0.449,0.4908,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,1,37.57,1,0.284921,0.256429,72.448963,0.594897,0
CALL-0075439,0,,2025-12-02,Network Coverage,,clean,C0008224,A0008224,REP00209,Anthony Nelson,NovaWireless,General Support,Call Center,38,medium,0.6804,519.92,high,641,0.301,0.5843,0.4617,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,58,71.14,1,0.301528,0.301528,69.179419,0.813949,1
CALL-0075440,0,,2025-12-09,Billing Dispute,NRF fee applied,fraud_hic_exchange,C0008264,A0008264,REP00180,David Kelly,NovaWireless,General Support,Call Center,23,medium,0.6073,562.46,normal,975,0.3589,0.4265,0.4369,1,True,True,False,True,True,False,True,True,False,False,True,True,68.46,fee_waiver,True,53,82.93,2,0.36254,0.580064,67.22479799999999,0.807302,0
CALL-0075441,0,,2025-12-13,Device Issue,,clean,C0004336,A0004336,REP00133,Jada Clark,NovaWireless,General Support,Call Center,25,low,0.5887,488.54,normal,434,0.2894,0.3864,0.3572,1,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,1,97.29,1,0.251383,0.251383,98.0,0.880045,0
CALL-0075442,0,,2025-12-29,Device Issue,,clean,C0008791,A0008791,REP00180,David Kelly,NovaWireless,General Support,Call Center,23,medium,0.6073,562.46,low,456,0.3579,0.4277,0.4364,2,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,53,91.09,2,0.322245,0.322245,83.419099,0.437563,1
CALL-0075443,0,,2025-12-03,Promotion Inquiry,,clean,C0004864,A0004864,REP00116,Ava Roberts,NovaWireless,General Support,Call Center,34,low,0.7156,526.98,low,384,0.217,0.6603,0.2931,1,False,False,False,False,False,False,True,True,False,False,False,True,10.0,courtesy,True,37,64.95,1,0.296255,0.296255,88.610489,0.374082,0
CALL-0075444,0,,2025-12-06,Promotion Inquiry,Eligibility question,fraud_care_promo,C0007102,A0007102,REP00071,Aaliyah Patel,NovaWireless,General Support,Call Center,34,low,0.6328,521.79,normal,623,0.3277,0.4816,0.3645,1,False,False,True,False,False,True,False,False,False,False,False,False,0.0,none,True,7,35.06,2,0.15237,0.2057,62.377286999999995,0.520082,0
CALL-0075445,0,,2025-12-14,Account Inquiry,,unresolvable_clean,C0002924,A0002924,REP00206,Danielle Young,NovaWireless,General Support,Call Center,27,medium,0.7427,517.41,peak,890,0.2157,0.7188,0.3662,1,False,False,True,False,False,False,False,False,True,False,False,True,24.12,service_credit,True,26,74.33,3,0.234527,0.328338,89.430833,0.623059,0
CALL-0075446,1,CALL-0075445,2025-12-21,Network Coverage,,unresolvable_clean,C0002924,A0002924,REP00212,Casey Parker,NovaWireless,General Support,Call Center,36,medium,0.7125,557.87,normal,624,0.3045,0.6536,0.4481,1,False,False,False,False,False,False,False,False,False,False,False,True,23.28,service_credit,True,26,74.33,3,0.234527,0.328338,89.38083300000001,0.623059,0
CALL-0075447,0,,2025-12-05,Account Inquiry,Add a line,line_add_legitimate,C0004355,A0004355,REP00105,Gabriella Allen,NovaWireless,General Support,Call Center,39,medium,0.6514,540.37,normal,697,0.3112,0.5217,0.39,1,False,False,False,True,False,False,True,True,False,False,False,False,0.0,none,True,59,119.3,1,0.274386,0.233228,60.62275,0.836455,1
